StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
SwingSPY_1,2022-Apr-05 13:30:00.286000,2022-Apr-05 13:30:00.286000,FILLED,FILL,SPY,SELL,LIMIT,DAY,455.230000,-1,0,-1,0,455.230000,0.011397,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292532,,
SwingSPY_1,2022-Apr-05 13:30:02.053000,2022-Apr-05 13:30:02.053000,FILLED,FILL,SPY,BUY,LIMIT,DAY,455.190000,100,0,100,0,455.190000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292533,,
SwingSPY_1,2022-Apr-05 13:30:44.026000,2022-Apr-05 13:30:44.026000,REJECTED,REJECT,SPY,SELL,LIMIT,DAY,455.685000,-2,0,0,-2,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292534,,limit price is not an increment of minimum tick size
SwingSPY_1,2022-Apr-05 13:32:23.951000,2022-Apr-05 13:32:23.951000,FILLED,FILL,SPY,SELL,LIMIT,DAY,456.300000,-500,0,-500,0,456.300000,5.710560,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292535,,
SwingSPY_1,2022-Apr-05 13:34:24.576000,2022-Apr-05 13:34:24.576000,FILLED,FILL,SPY,SELL,LIMIT,DAY,456.480000,-43,0,-43,0,456.480000,0.491282,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292536,,
SwingSPY_1,2022-Apr-05 13:35:21.436000,2022-Apr-05 13:35:21.436000,FILLED,FILL,SPY,SELL,LIMIT,DAY,456.790000,-3,0,-3,0,456.790000,0.034296,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292537,,
SwingSPY_1,2022-Apr-05 13:40:08.654000,2022-Apr-05 13:40:08.654000,FILLED,FILL,SPY,SELL,LIMIT,DAY,457.060000,-100,0,-100,0,457.060000,1.143814,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292538,,
SwingSPY_1,2022-Apr-05 14:02:30.013000,2022-Apr-05 14:02:30.013000,REJECTED,REJECT,SPY,SELL,LIMIT,DAY,457.475000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292539,,limit price is not an increment of minimum tick size
SwingSPY_1,2022-Apr-05 14:03:23.033000,2022-Apr-05 14:03:23.033000,FILLED,FILL,SPY,SELL,LIMIT,DAY,457.770000,-100,0,-100,0,457.770000,1.145405,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292540,,
SwingSPY_1,2022-Apr-05 14:09:06.175000,2022-Apr-05 14:09:06.175000,FILLED,FILL,SPY,BUY,LIMIT,DAY,454.940000,11,0,11,0,454.940000,0.013200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292541,,
SwingSPY_1,2022-Apr-05 14:09:23.851000,2022-Apr-05 14:09:23.851000,FILLED,FILL,SPY,BUY,LIMIT,DAY,454.780000,100,0,100,0,454.780000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292542,,
SwingSPY_1,2022-Apr-05 14:15:14.131000,2022-Apr-05 14:15:14.131000,FILLED,FILL,SPY,BUY,LIMIT,DAY,454.490000,100,0,100,0,454.490000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292543,,
SwingSPY_1,2022-Apr-05 14:15:48.180000,2022-Apr-05 14:15:48.180000,FILLED,FILL,SPY,BUY,LIMIT,DAY,454.410000,3,0,3,0,454.410000,0.003600,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292544,,
SwingSPY_1,2022-Apr-05 14:16:24.506000,2022-Apr-05 14:16:24.506000,FILLED,FILL,SPY,BUY,LIMIT,DAY,454.310000,100,0,100,0,454.310000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292545,,
SwingSPY_1,2022-Apr-05 14:17:32.124000,2022-Apr-05 14:17:32.124000,FILLED,FILL,SPY,BUY,LIMIT,DAY,454.180000,1,0,1,0,454.180000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292546,,
SwingSPY_1,2022-Apr-05 14:17:49.843000,2022-Apr-05 14:17:49.843000,FILLED,FILL,SPY,BUY,LIMIT,DAY,454.090000,25,0,25,0,454.090000,0.030000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292547,,
SwingSPY_1,2022-Apr-05 14:21:16.956000,2022-Apr-05 14:21:16.956000,FILLED,FILL,SPY,BUY,LIMIT,DAY,453.970000,100,0,100,0,453.970000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292548,,
SwingSPY_1,2022-Apr-05 15:55:11.407000,2022-Apr-05 15:55:11.407000,FILLED,FILL,SPY,BUY,LIMIT,DAY,453.740000,98,0,98,0,453.740000,0.117600,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292549,,
SwingSPY_1,2022-Apr-05 15:58:22.065000,2022-Apr-05 15:58:22.065000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,453.599200,50,0,0,50,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292550,,limit price is not an increment of minimum tick size
SwingSPY_1,2022-Apr-05 16:01:43.965000,2022-Apr-05 16:01:43.965000,FILLED,FILL,SPY,BUY,LIMIT,DAY,453.270000,3,0,3,0,453.270000,0.003600,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292551,,
SwingSPY_1,2022-Apr-05 16:19:25.619000,2022-Apr-05 16:19:25.619000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,453.175000,300,0,0,300,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292552,,limit price is not an increment of minimum tick size
SwingSPY_1,2022-Apr-05 16:22:31.355000,2022-Apr-05 16:22:31.355000,FILLED,FILL,SPY,BUY,LIMIT,DAY,453.020000,6,0,6,0,453.020000,0.007200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292553,,
