StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
SwingSPY_1,2022-Apr-06 13:32:10.014000,SPY,100,446.710000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292577,,FILL
SwingSPY_1,2022-Apr-06 13:32:24.992000,SPY,30,446.610000,0.036000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292578,,FILL
SwingSPY_1,2022-Apr-06 13:32:53.638000,SPY,420,446.510000,0.504000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292579,,FILL
SwingSPY_1,2022-Apr-06 13:35:39.665000,SPY,100,446.230000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292580,,FILL
SwingSPY_1,2022-Apr-06 13:41:26.367000,SPY,100,446.110000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292582,,FILL
SwingSPY_1,2022-Apr-06 13:43:54.467000,SPY,100,445.920000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292583,,FILL
SwingSPY_1,2022-Apr-06 13:44:31.951000,SPY,6,445.820000,0.007200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292584,,FILL
SwingSPY_1,2022-Apr-06 13:45:13.384000,SPY,234,445.700000,0.280800,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292585,,FILL
SwingSPY_1,2022-Apr-06 13:51:51.645000,SPY,15,445.560000,0.018000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292586,,FILL
SwingSPY_1,2022-Apr-06 14:02:38.435000,SPY,100,445.030000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292588,,FILL
SwingSPY_1,2022-Apr-06 14:05:15.246000,SPY,500,444.950000,0.600000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292589,,FILL
SwingSPY_1,2022-Apr-06 14:10:27.483000,SPY,10,444.580000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292591,,FILL
SwingSPY_1,2022-Apr-06 18:14:38.248000,SPY,100,444.490000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292592,,FILL
SwingSPY_1,2022-Apr-06 18:14:54.906000,SPY,100,444.320000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292593,,FILL
SwingSPY_1,2022-Apr-06 18:15:58.749000,SPY,450,443.990000,0.540000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292595,,FILL
SwingSPY_1,2022-Apr-06 18:17:13.519000,SPY,100,443.750000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292597,,FILL
SwingSPY_1,2022-Apr-06 18:18:25.144000,SPY,7,443.570000,0.008400,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292598,,FILL
SwingSPY_1,2022-Apr-11 13:38:39.231000,SPY,10,443.430000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292599,,FILL
