Name,Time,Cumulative PnL
TKSPY,2019-Oct-30 15:39:10.636000,41.442800
TKSPY,2019-Oct-30 15:40:21.100000,-44.195800
TKSPY,2019-Oct-30 15:41:33.438000,-51.483600
TKSPY,2019-Oct-30 15:42:50.993000,-162.280400
TKSPY,2019-Oct-30 15:44:15.704000,-305.968800
TKSPY,2019-Oct-30 15:45:38.375000,-354.217200
TKSPY,2019-Oct-30 15:46:52.105000,-337.510000
TKSPY,2019-Oct-30 15:48:04.341000,-279.681000
TKSPY,2019-Oct-30 15:49:08.452000,-254.981600
TKSPY,2019-Oct-30 15:50:20.251000,-4.517200
TKSPY,2019-Oct-30 15:51:20.411000,-38.176800
TKSPY,2019-Oct-30 15:52:23.500000,-71.804800
TKSPY,2019-Oct-30 15:53:36.522000,-131.655400
TKSPY,2019-Oct-30 15:54:41.128000,-88.597200
TKSPY,2019-Oct-30 15:55:52.475000,-1.963600
TKSPY,2019-Oct-30 15:57:03.434000,15.560400
TKSPY,2019-Oct-30 15:58:16.211000,-54.646800
TKSPY,2019-Oct-30 15:59:28.230000,15.937200
TKSPY,2019-Oct-30 16:00:47.434000,-10.542200
TKSPY,2019-Oct-30 16:02:11.742000,105.183600
TKSPY,2019-Oct-30 16:03:18.227000,-20.820800
TKSPY,2019-Oct-30 16:04:19.682000,105.913200
TKSPY,2019-Oct-30 16:05:30.358000,181.158000
TKSPY,2019-Oct-30 16:06:52.176000,218.473600
TKSPY,2019-Oct-30 16:08:11.178000,219.255600
TKSPY,2019-Oct-30 16:09:21.244000,238.027200
TKSPY,2019-Oct-30 16:10:22.754000,314.108800
TKSPY,2019-Oct-30 16:11:31.953000,285.405000
TKSPY,2019-Oct-30 16:12:36.633000,304.892400
TKSPY,2019-Oct-30 16:13:40.217000,314.355600
TKSPY,2019-Oct-30 16:14:40.975000,255.367200
TKSPY,2019-Oct-30 16:15:41.356000,97.585200
TKSPY,2019-Oct-30 16:16:58.721000,236.698400
TKSPY,2019-Oct-30 16:18:03.398000,176.895200
TKSPY,2019-Oct-30 16:19:16.133000,257.088000
TKSPY,2019-Oct-30 16:20:31.180000,257.013600
TKSPY,2019-Oct-30 16:21:35.808000,257.011200
TKSPY,2019-Oct-30 16:22:53.209000,287.378800
TKSPY,2019-Oct-30 16:24:00.438000,358.322800
TKSPY,2019-Oct-30 16:25:39.204000,480.332800
TKSPY,2019-Oct-30 16:26:45.330000,469.989400
TKSPY,2019-Oct-30 16:27:57.619000,624.897600
TKSPY,2019-Oct-30 16:29:12.165000,541.731600
TKSPY,2019-Oct-30 16:30:18.792000,593.830600
TKSPY,2019-Oct-30 16:31:51.423000,646.270000
TKSPY,2019-Oct-30 16:33:17.539000,677.712800
TKSPY,2019-Oct-30 16:35:35.275000,667.650000
TKSPY,2019-Oct-30 16:36:37.341000,678.673000
TKSPY,2019-Oct-30 16:38:01.281000,625.239600
TKSPY,2019-Oct-30 16:39:04.937000,539.468800
TKSPY,2019-Oct-30 16:40:15.626000,560.875600
TKSPY,2019-Oct-30 16:41:57.899000,582.503200
TKSPY,2019-Oct-30 16:43:21.235000,757.732800
TKSPY,2019-Oct-30 16:44:36.758000,603.332000
TKSPY,2019-Oct-30 16:45:49.506000,625.474800
TKSPY,2019-Oct-30 16:47:39.876000,581.156400
TKSPY,2019-Oct-30 16:48:52.920000,447.439200
TKSPY,2019-Oct-30 16:50:43.293000,402.678400
TKSPY,2019-Oct-30 16:52:10.275000,492.413600
TKSPY,2019-Oct-30 16:53:42.928000,402.487600
TKSPY,2019-Oct-30 16:54:53.863000,289.865200
TKSPY,2019-Oct-30 16:56:10.520000,335.095600
TKSPY,2019-Oct-30 16:57:22.915000,289.879600
TKSPY,2019-Oct-30 16:58:32.621000,267.186000
TKSPY,2019-Oct-30 16:59:43.512000,176.258800
TKSPY,2019-Oct-30 17:00:48.887000,176.255200
TKSPY,2019-Oct-30 17:02:05.433000,130.685600
TKSPY,2019-Oct-30 17:03:24.543000,371.359000
TKSPY,2019-Oct-30 17:04:43.916000,452.166400
TKSPY,2019-Oct-30 17:05:58.779000,382.300400
TKSPY,2019-Oct-30 17:07:39.152000,359.042000
TKSPY,2019-Oct-30 17:09:17.488000,452.521200
TKSPY,2019-Oct-30 17:10:38.354000,487.783800
TKSPY,2019-Oct-30 17:12:10.415000,335.025200
TKSPY,2019-Oct-30 17:13:34.347000,264.316800
TKSPY,2019-Oct-30 17:14:45.495000,382.457200
TKSPY,2019-Oct-30 17:15:58.589000,382.423600
TKSPY,2019-Oct-30 17:17:02.416000,370.440200
TKSPY,2019-Oct-30 17:19:13.537000,239.520400
TKSPY,2019-Oct-30 17:20:19.472000,120.324400
TKSPY,2019-Oct-30 17:21:36.109000,263.878800
TKSPY,2019-Oct-30 17:22:40.328000,167.739200
TKSPY,2019-Oct-30 17:23:46.773000,203.967000
TKSPY,2019-Oct-30 17:25:00.341000,264.502400
TKSPY,2019-Oct-30 17:26:03.880000,252.381200
TKSPY,2019-Oct-30 17:27:10.222000,264.486400
TKSPY,2019-Oct-30 17:28:16.677000,215.958000
TKSPY,2019-Oct-30 17:29:32.446000,264.786000
TKSPY,2019-Oct-30 17:30:36.570000,142.496400
TKSPY,2019-Oct-30 17:31:53.996000,203.808000
TKSPY,2019-Oct-30 17:33:16.675000,130.008000
TKSPY,2019-Oct-30 17:34:42.729000,68.552000
TKSPY,2019-Oct-30 17:35:53.273000,167.113600
TKSPY,2019-Oct-30 17:37:18.514000,-18.379800
TKSPY,2019-Oct-30 17:38:37.116000,68.424400
TKSPY,2019-Oct-30 17:39:59.121000,93.446400
TKSPY,2019-Oct-30 17:41:00.155000,18.199200
TKSPY,2019-Oct-30 17:42:05.821000,68.690000
TKSPY,2019-Oct-30 17:43:06.692000,17.859600
