StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
TKSPY,2019-Oct-30 13:34:28.182000,SPY,1,303.040000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587570,,FILL
TKSPY,2019-Oct-30 13:34:28.553000,SPY,1,303.050000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587571,,FILL
TKSPY,2019-Oct-30 13:34:44.119000,SPY,1,303.000000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587572,,FILL
TKSPY,2019-Oct-30 13:34:45.418000,SPY,1,302.960000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587573,,FILL
TKSPY,2019-Oct-30 13:34:45.418000,SPY,1,302.960000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587574,,FILL
TKSPY,2019-Oct-30 13:34:46.636000,SPY,1,302.990000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587575,,FILL
TKSPY,2019-Oct-30 13:34:50.552000,SPY,1,302.980000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587576,,FILL
TKSPY,2019-Oct-30 13:34:51.376000,SPY,1,302.980000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587577,,FILL
TKSPY,2019-Oct-30 13:35:02.624000,SPY,1,302.910000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587578,,FILL
TKSPY,2019-Oct-30 13:35:05.981000,SPY,1,302.910000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587579,,FILL
TKSPY,2019-Oct-30 13:35:05.981000,SPY,1,302.910000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587580,,FILL
TKSPY,2019-Oct-30 13:35:05.981000,SPY,1,302.900000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587581,,FILL
TKSPY,2019-Oct-30 13:35:16.890000,SPY,1,302.880000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587582,,FILL
TKSPY,2019-Oct-30 13:35:16.892000,SPY,1,302.880000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587583,,FILL
TKSPY,2019-Oct-30 13:35:17.859000,SPY,1,302.900000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587585,,FILL
TKSPY,2019-Oct-30 13:35:24.811000,SPY,1,302.910000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587586,,FILL
TKSPY,2019-Oct-30 13:35:34.710000,SPY,1,302.930000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587587,,FILL
TKSPY,2019-Oct-30 13:35:54.539000,SPY,1,303.000000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587591,,FILL
TKSPY,2019-Oct-30 13:35:54.540000,SPY,1,303.010000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587592,,FILL
TKSPY,2019-Oct-30 13:35:54.642000,SPY,1,303.000000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587593,,FILL
TKSPY,2019-Oct-30 13:36:10.111000,SPY,1,302.940000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587596,,FILL
TKSPY,2019-Oct-30 13:36:12.877000,SPY,1,302.940000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587597,,FILL
TKSPY,2019-Oct-30 13:36:27.141000,SPY,1,302.920000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587599,,FILL
TKSPY,2019-Oct-30 13:36:30.934000,SPY,1,302.880000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587602,,FILL
TKSPY,2019-Oct-30 13:36:47.319000,SPY,1,302.960000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587616,,FILL
TKSPY,2019-Oct-30 13:37:10.762000,SPY,1,302.890000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587620,,FILL
TKSPY,2019-Oct-30 13:37:15.922000,SPY,1,302.900000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587621,,FILL
TKSPY,2019-Oct-30 13:37:31.270000,SPY,1,302.800000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587622,,FILL
TKSPY,2019-Oct-30 13:37:31.270000,SPY,1,302.800000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587623,,FILL
