StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
NONSPY,2019-Oct-30 13:31:50.224000,2019-Oct-30 13:31:50.224000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,303.185000,1,0,0,1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587542,,limit price is not an increment of minimum tick size
NONSPY,2019-Oct-30 13:31:50.224000,2019-Oct-30 13:31:50.224000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,303.185000,1,0,0,1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587543,,limit price is not an increment of minimum tick size
NONSPY,2019-Oct-30 13:31:50.231000,2019-Oct-30 13:31:50.231000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.190000,1,0,1,0,303.170000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587544,,
NONSPY,2019-Oct-30 13:32:06.440000,2019-Oct-30 13:32:06.440000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,303.155000,1,0,0,1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587545,,limit price is not an increment of minimum tick size
NONSPY,2019-Oct-30 13:32:06.688000,2019-Oct-30 13:32:06.688000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.170000,1,0,1,0,303.150000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587546,,
NONSPY,2019-Oct-30 13:32:08.923000,2019-Oct-30 13:32:08.923000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.170000,1,0,1,0,303.150000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587547,,
NONSPY,2019-Oct-30 13:32:26.927000,2019-Oct-30 13:32:26.927000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.160000,1,0,1,0,303.140000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587548,,
NONSPY,2019-Oct-30 13:32:33.622000,2019-Oct-30 13:32:33.622000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.160000,1,0,1,0,303.140000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587549,,
NONSPY,2019-Oct-30 13:32:48.656000,2019-Oct-30 13:32:48.656000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.160000,1,0,1,0,303.140000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587550,,
NONSPY,2019-Oct-30 13:33:05.983000,2019-Oct-30 13:33:05.983000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.150000,1,0,1,0,303.130000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587551,,
NONSPY,2019-Oct-30 13:33:05.984000,2019-Oct-30 13:33:05.984000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.150000,1,0,1,0,303.130000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587552,,
NONSPY,2019-Oct-30 13:33:06.252000,2019-Oct-30 13:33:06.252000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.160000,1,0,1,0,303.140000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587553,,
NONSPY,2019-Oct-30 13:33:14.645000,2019-Oct-30 13:33:14.645000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.150000,1,0,1,0,303.130000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587554,,
NONSPY,2019-Oct-30 13:33:22.777000,2019-Oct-30 13:33:22.777000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,303.145000,1,0,0,1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587555,,limit price is not an increment of minimum tick size
NONSPY,2019-Oct-30 13:33:23.533000,2019-Oct-30 13:33:23.533000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.160000,1,0,1,0,303.140000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587556,,
NONSPY,2019-Oct-30 13:33:23.742000,2019-Oct-30 13:33:23.742000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.150000,1,0,1,0,303.130000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587557,,
NONSPY,2019-Oct-30 13:33:37.964000,2019-Oct-30 13:33:37.964000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,303.165000,1,0,0,1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587558,,limit price is not an increment of minimum tick size
NONSPY,2019-Oct-30 13:33:41.934000,2019-Oct-30 13:33:41.934000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.190000,1,0,1,0,303.170000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587559,,
NONSPY,2019-Oct-30 13:33:41.939000,2019-Oct-30 13:33:41.939000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.190000,1,0,1,0,303.170000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587560,,
NONSPY,2019-Oct-30 13:33:41.941000,2019-Oct-30 13:33:41.941000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.190000,1,0,1,0,303.170000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587561,,
NONSPY,2019-Oct-30 13:33:57.452000,2019-Oct-30 13:33:57.452000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.150000,1,0,1,0,303.130000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587562,,
NONSPY,2019-Oct-30 13:33:59.163000,2019-Oct-30 13:33:59.163000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,303.155000,1,0,0,1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587563,,limit price is not an increment of minimum tick size
NONSPY,2019-Oct-30 13:34:00.576000,2019-Oct-30 13:34:00.576000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.140000,1,0,1,0,303.120000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587564,,
