Name,Time,Cumulative PnL
torch123,2022-Aug-01 15:42:55.212388,-26.801581
torch123,2022-Aug-01 15:43:59.284818,-61.801581
torch123,2022-Aug-01 15:45:00.799501,-103.801581
torch123,2022-Aug-01 15:46:02.282330,-70.346253
torch123,2022-Aug-01 15:47:18.632980,-143.846253
torch123,2022-Aug-01 15:48:32.065421,-193.966253
torch123,2022-Aug-01 15:49:35.020313,-220.966253
torch123,2022-Aug-01 15:50:36.474654,-230.966253
torch123,2022-Aug-01 15:51:46.131720,-220.966253
torch123,2022-Aug-01 15:53:12.079145,-231.011866
torch123,2022-Aug-01 15:54:25.777227,-159.011866
torch123,2022-Aug-01 15:55:37.444707,-105.131866
torch123,2022-Aug-01 15:56:40.918835,-111.131866
torch123,2022-Aug-01 15:57:50.859849,-109.131866
torch123,2022-Aug-01 15:59:00.519131,-111.131866
torch123,2022-Aug-01 16:00:15.688251,-98.176717
torch123,2022-Aug-01 16:01:28.073340,-50.176717
torch123,2022-Aug-01 16:02:50.098356,-8.296717
torch123,2022-Aug-01 16:04:06.067269,-17.296717
torch123,2022-Aug-01 16:06:13.138082,-7.296717
torch123,2022-Aug-01 16:08:19.269719,8.703283
torch123,2022-Aug-01 16:09:37.768505,46.703283
torch123,2022-Aug-01 16:10:59.864072,47.583283
torch123,2022-Aug-01 16:12:02.427700,73.583283
torch123,2022-Aug-01 16:13:14.203332,122.583283
torch123,2022-Aug-01 16:14:19.954351,166.541254
torch123,2022-Aug-01 16:15:27.952526,98.541254
torch123,2022-Aug-01 16:16:39.930930,115.421254
torch123,2022-Aug-01 16:17:58.364455,101.421254
torch123,2022-Aug-01 16:19:14.921250,107.421254
torch123,2022-Aug-01 16:20:19.355760,105.421254
torch123,2022-Aug-01 16:21:28.689978,78.921254
torch123,2022-Aug-01 16:22:31.737954,85.421254
torch123,2022-Aug-01 16:23:41.497367,68.421254
torch123,2022-Aug-01 16:25:01.086767,62.301254
torch123,2022-Aug-01 16:26:07.344401,62.301254
torch123,2022-Aug-01 16:27:29.057829,62.301254
torch123,2022-Aug-01 16:28:56.609616,62.301254
torch123,2022-Aug-01 16:29:56.860649,58.258038
torch123,2022-Aug-01 16:30:57.402243,74.258038
torch123,2022-Aug-01 16:32:09.618248,67.258038
torch123,2022-Aug-01 16:33:21.600247,79.138038
torch123,2022-Aug-01 16:34:21.951547,79.138038
torch123,2022-Aug-01 16:36:00.999924,78.094890
torch123,2022-Aug-01 16:37:18.977033,97.094890
torch123,2022-Aug-01 16:38:27.579077,99.974890
torch123,2022-Aug-01 16:39:35.305895,99.974890
torch123,2022-Aug-01 16:40:47.673152,99.974890
torch123,2022-Aug-01 16:42:01.700658,81.932547
torch123,2022-Aug-01 16:43:14.037257,99.932547
torch123,2022-Aug-01 16:44:46.823258,100.812547
torch123,2022-Aug-01 16:46:00.345564,100.812547
torch123,2022-Aug-01 16:48:05.763411,99.769197
torch123,2022-Aug-01 16:49:07.148730,136.269197
torch123,2022-Aug-01 16:50:36.317223,127.649197
torch123,2022-Aug-01 16:52:04.038682,127.649197
torch123,2022-Aug-01 16:53:06.492327,127.649197
torch123,2022-Aug-01 16:54:28.615209,129.606474
torch123,2022-Aug-01 16:55:31.558597,149.606474
torch123,2022-Aug-01 16:56:56.119176,169.486474
torch123,2022-Aug-01 16:58:04.021742,169.486474
torch123,2022-Aug-01 16:59:22.377565,169.486474
torch123,2022-Aug-01 17:00:36.697914,163.944019
torch123,2022-Aug-01 17:01:54.220706,208.444019
torch123,2022-Aug-01 17:03:12.992665,212.324019
torch123,2022-Aug-01 17:04:27.262531,204.783894
torch123,2022-Aug-01 17:05:43.879579,207.283894
torch123,2022-Aug-01 17:06:52.234134,177.783894
torch123,2022-Aug-01 17:08:08.858233,157.163894
torch123,2022-Aug-01 17:09:13.857529,157.163894
torch123,2022-Aug-01 17:10:36.948976,156.122493
torch123,2022-Aug-01 17:11:51.815440,179.122493
torch123,2022-Aug-01 17:13:03.570138,176.622493
torch123,2022-Aug-01 17:14:07.802024,176.002493
torch123,2022-Aug-01 17:15:17.754206,176.002493
torch123,2022-Aug-01 17:16:39.374191,177.960374
